id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
675174,SE ALQUILA HABITACION AMUEBLADA,3429484,Sandra      P.,Nou Barris,la Prosperitat,41.44624096160064,2.18316038552571,Private room,30,8,0,,,3,362
675175,FURNISED   ROOM   FOR  RENT,3429484,Sandra      P.,Nou Barris,la Prosperitat,41.443436632472725,2.1812657623171146,Private room,25,90,0,,,3,87
676924,Suite Francesa en Centro Barcelona,3438513,Epi,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40449651989862,2.1428480689409275,Private room,30,180,0,,,1,365
677012,HABITACION INDIVIDUAL  BARCELONA,3441858,Jose,Gràcia,Vallcarca i els Penitents,41.40836186048038,2.1491115474646443,Private room,24,2,29,2018-06-04,0.70,3,163
677850,Sunny and charming centric flat!!,3447779,Marcelo,Sant Martí,el Parc i la Llacuna del Poblenou,41.39124638179956,2.183637668469023,Private room,48,4,52,2018-08-22,0.70,2,280
679547,Cozy single/double room quiet zone,2891968,Julià,Sant Martí,el Clot,41.41420462774384,2.187262548766059,Private room,21,4,130,2018-09-06,1.81,1,0
679664,1 HAB. INDIVIDUAL EN BARCELONA,3459348,Patricia,Sarrià-Sant Gervasi,les Tres Torres,41.39675525903148,2.1290262611651776,Private room,55,1,11,2018-06-02,0.20,1,362
679965,quiet and bright room near beach,3461421,Monica,Sant Martí,el Poblenou,41.40237443840609,2.2021866989852943,Private room,33,3,185,2018-09-16,2.82,1,59
682808,Central Townhouse Barcelona,3479346,Ewa & Pau,Eixample,la Dreta de l'Eixample,41.392881833652396,2.166870009629479,Entire home/apt,399,2,140,2018-09-05,1.95,14,282
682871,Well connected & quiet apartment,3479346,Ewa & Pau,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39741701537542,2.148311817235735,Entire home/apt,89,2,251,2018-09-24,3.43,14,251
683062,Sunny and charming centric flat!!,3447779,Marcelo,Sant Martí,el Parc i la Llacuna del Poblenou,41.39151959520966,2.1831281696114373,Private room,37,6,33,2018-01-01,0.45,2,280
683195,"Penthouse loft-wifi-terrace, Gracia",3481371,Eduard,Gràcia,la Vila de Gràcia,41.401635031105805,2.163499577706087,Entire home/apt,95,4,181,2018-09-29,2.68,1,285
